,City,Country,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
363,Antalaha,MG,1071296,-14.9003,50.2788,77.23,85,12.77,100
366,Tsaratanana,MG,1055059,-16.7833,47.65,75.74,84,2.33,90
368,Mareeba,AU,2158767,-17.0,145.4333,79.0,87,1.99,100
370,Nchelenge,ZM,175499,-9.3451,28.734,71.78,82,4.54,100
371,Kananga,CD,214481,-5.8958,22.4178,71.71,89,0.94,100
380,Delta del Tigre,UY,3442778,-34.7633,-56.3853,80.6,32,2.3,0
389,Coquimbo,CL,3893629,-29.9533,-71.3436,62.6,77,11.5,20
397,Howard Springs,AU,6301965,-12.497,131.047,78.8,94,10.36,75
399,Kindu,CD,212902,-2.95,25.95,69.67,96,1.97,95
406,Omboué,GA,2396853,-1.5746,9.2618,78.57,85,6.73,100
413,Esperance,AU,2071860,-33.8667,121.9,60.8,82,14.97,0
421,Auki,SB,2109701,-8.7676,160.7034,83.37,71,4.16,100
423,Opuwo,NA,3354077,-18.0607,13.84,69.8,50,5.99,97
430,Willowmore,ZA,939676,-33.2926,23.4895,68.9,65,8.61,0
431,Alofi,NU,4036284,-19.0595,-169.9187,87.8,62,9.22,40
432,Itarema,BR,3393692,-2.9248,-39.9167,79.83,78,13.18,80
433,Takaka,NZ,2181997,-40.85,172.8,64.99,82,15.99,63
440,Sorong,ID,1626542,-0.8833,131.25,79.45,78,4.14,100
445,Charters Towers,AU,2171722,-20.1,146.2667,74.05,83,10.69,100
446,Belmonte,BR,3470137,-15.8631,-38.8828,78.8,73,8.05,20
450,Tual,ID,1623197,-5.6667,132.75,81.99,77,12.44,100
451,Tres Arroyos,AR,3833859,-38.3739,-60.2798,78.82,40,8.28,0
453,Talara,PE,3691582,-4.5772,-81.2719,80.6,57,9.22,0
456,Byron Bay,AU,2172880,-28.65,153.6167,75.2,73,5.75,96
460,Yeppoon,AU,2142316,-23.1333,150.7333,80.6,69,8.05,100
467,Broken Hill,AU,2173911,-31.95,141.4333,62.6,59,19.57,0
472,Kirundo Province,BI,432455,-2.5833,30.1667,60.89,92,0.94,90
474,Naberera,TZ,152042,-4.2,36.9333,62.94,92,6.91,100
479,Poum,NC,2138555,-20.2333,164.0167,82.35,81,12.41,99
481,Port-Gentil,GA,2396518,-0.7193,8.7815,80.6,83,10.36,20
482,Warkworth,NZ,2179639,-36.4,174.6667,75.0,65,7.0,27
484,Morón,AR,3430545,-34.6534,-58.6198,86.0,32,1.99,0
486,Laela,TZ,156098,-8.5667,32.05,61.79,93,2.89,97
487,Humaitá,BR,3664078,-7.5061,-63.0208,75.02,95,1.99,100
490,Ilhabela,BR,3461425,-23.7781,-45.3581,79.81,82,0.36,100
493,Bengkulu,ID,1649150,-3.8004,102.2655,72.95,86,5.37,77
495,Manjacaze,MZ,1040938,-24.7117,33.8828,74.12,78,7.81,98
497,Camapuã,BR,3468020,-19.5314,-54.0439,74.55,90,4.61,100
498,Lorengau,PG,2092164,-2.0226,147.2712,83.86,77,10.87,57
500,Huarmey,PE,3939168,-10.0681,-78.1522,73.72,73,9.04,70
502,Lodja,CD,211647,-3.4833,23.4333,68.29,88,0.78,100
504,Port Macquarie,AU,2152659,-31.4333,152.9167,81.0,56,1.01,0
512,Tigre,AR,3427761,-34.426,-58.5796,87.01,32,6.91,0
516,Oranjemund,NA,3354071,-28.55,16.4333,66.72,85,9.15,48
517,Portel,BR,3391412,-1.9356,-50.8211,76.96,92,2.55,85
518,Atambua,ID,1651103,-9.1061,124.8925,73.98,90,2.77,100
521,Treinta y Tres,UY,3439781,-33.2333,-54.3833,73.71,56,13.04,0
524,Codrington,AU,2171099,-38.2667,141.9667,57.85,64,12.33,44
527,Porto Walter,BR,3662761,-8.2686,-72.7439,81.86,90,0.96,94
528,Rawson,AR,3839307,-43.3002,-65.1023,68.94,55,15.5,0
531,Tolaga Bay,NZ,2180991,-38.3667,178.3,72.1,51,8.84,0
533,Samarai,PG,2132606,-10.6167,150.6667,85.39,75,10.47,87
534,Mahébourg,MU,934322,-20.4081,57.7,78.8,94,8.05,75
539,Ilebo,CD,215976,-4.3167,20.5833,71.74,91,1.14,100
540,Bukama,CD,217834,-9.2,25.85,69.12,94,0.74,93
546,Luanda,AO,2240449,-8.8368,13.2343,77.0,83,10.36,0
550,Playas,EC,3653015,-2.6333,-80.3833,79.18,73,13.04,92
552,São Miguel do Araguaia,BR,3448455,-13.275,-50.1628,76.24,81,3.85,100
553,Simplício Mendes,BR,3387620,-7.8539,-41.9103,80.58,56,3.4,100
560,Okato,NZ,2185763,-39.2,173.8833,66.0,73,8.01,94
563,Kirakira,SB,2178753,-10.4544,161.9205,84.78,71,6.89,96
564,Curuçá,BR,3401188,-0.7289,-47.8481,77.76,83,5.41,72
576,Quaraí,BR,3452179,-30.3875,-56.4514,80.64,34,9.73,0
577,Puerto Quijarro,BO,3444201,-17.7833,-57.7667,67.66,83,4.38,100
578,Banjar,ID,1650232,-8.19,114.9675,77.0,94,3.44,75
583,San Juan,AR,3837213,-31.5375,-68.5364,92.86,11,10.74,1
586,Jacareacanga,BR,3397763,-6.2222,-57.7528,77.23,93,0.85,100
589,Luganville,VU,2136150,-15.5333,167.1667,85.3,69,4.41,92
590,La Santisima Trinidad,BO,3902377,-14.8333,-64.9,78.8,65,5.75,75
593,Werda,BW,932960,-25.2667,23.2833,83.26,41,7.74,100
600,La Libertad,EC,3655131,-2.2333,-80.9,80.6,78,9.22,40
601,Saint-Leu,RE,6690297,-21.15,55.2833,78.8,73,5.75,20
604,Manokwari,ID,1636308,-0.8667,134.0833,79.38,73,1.54,100
610,Cairns,AU,2172797,-16.9167,145.7667,79.0,88,3.44,100
615,Kamina,CD,214614,-8.7386,24.9906,65.35,96,3.87,88
616,Alyangula,AU,2079582,-13.8483,136.4192,80.6,100,3.44,100
619,Mayumba,GA,2399001,-3.432,10.6554,78.84,82,5.46,100
622,Posse,BR,3452599,-14.0931,-46.3694,73.53,68,3.49,81
623,Mazagão,BR,3395042,-0.115,-51.2894,77.0,94,5.75,90
627,Kaeo,NZ,2189343,-35.1,173.7833,72.27,59,12.37,65
628,Caucaia,BR,3402429,-3.7361,-38.6531,82.4,74,8.05,20
631,Kikwit,CD,2314705,-5.041,18.8162,72.97,88,1.32,100
634,Ancud,CL,3899695,-41.8697,-73.8203,72.0,64,6.91,20
635,Santarém,BR,3389353,-2.4431,-54.7083,80.6,83,3.44,40
638,Taltal,CL,3870243,-25.4,-70.4833,69.64,64,5.55,22
649,Daru,PG,2098329,-9.0763,143.2092,81.16,82,2.68,100
650,Port Lincoln,AU,2063036,-34.7333,135.8667,61.11,77,14.14,56
658,Noumea,NC,2139521,-22.2763,166.4572,84.2,79,1.14,0
661,Rocha,UY,3440777,-34.4833,-54.3333,67.78,62,6.73,0
666,Ngorongoro,TZ,151610,-3.2397,35.4875,54.82,100,2.8,100
682,Beira,MZ,1052373,-19.8436,34.8389,82.0,89,5.75,75
689,Zanzibar,TZ,148730,-6.1639,39.1979,77.68,87,7.25,100
691,Ndjolé,GA,2397674,-0.1783,10.7649,75.6,92,2.48,100
